Symbol(CUSIP),Security Description,Quantity,Date Acquired,Date Sold,Proceeds,Cost Basis,Short Term Gain/Loss,Long Term Gain/Loss
COST(22160K105),COSTCO WHOLESALE CORP COM USD0.01,2.00,09/28/2020,10/21/2020,$757.02 ,$691.35 ,$65.67 ,-
COST(22160K105),COSTCO WHOLESALE CORP COM USD0.01,1.00,09/28/2020,10/21/2020,$378.73 ,$345.67 ,$33.06 ,-
COST(22160K105),COSTCO WHOLESALE CORP COM USD0.01,1.00,09/28/2020,10/21/2020,$378.74 ,$345.68 ,$33.06 ,-
COST(22160K105),COSTCO WHOLESALE CORP COM USD0.01,1.00,09/28/2020,10/20/2020,$376.97 ,$345.68 ,$31.29 ,-
COST(22160K105),COSTCO WHOLESALE CORP COM USD0.01,1.00,09/28/2020,10/12/20,$378.98 ,$345.67 ,$33.31 ,-
COST(22160K105),COSTCO WHOLESALE CORP COM USD0.01,1.00,09/28/2020,10/01/20,$358.17 ,$345.68 ,$12.49 ,-
COST(22160K105),COSTCO WHOLESALE CORP COM USD0.01,1.00,09/28/2020,09/30/2020,$354.47 ,$345.68 ,$8.79 ,-
CPE(13123X508),CALLON PETE CO DEL COM,31.00,10/01/20,11/02/20,$168.79 ,$148.76 ,$20.03 ,-
CPE(13123X508),CALLON PETE CO DEL COM,0.26,10/01/20,11/02/20,$1.39 ,$1.24 ,$0.15 ,-
CPE(13123X508),CALLON PETE CO DEL COM,20.00,09/24/2020,10/01/20,$103.03 ,$100.10 ,$2.93 ,-
CPE(13123X508),CALLON PETE CO DEL COM,10.00,09/29/2020,10/01/20,$51.52 ,$49.48 ,$2.04 ,-
CTXS(177376100),CITRIX SYS INC COM,0.13,07/23/2020,11/04/20,$15.15 ,$19.99 ,($4.84),-
CTXS(177376100),CITRIX SYS INC COM,0.58,09/29/2020,11/04/20,$68.17 ,$79.89 ,($11.72),-
CVNA(146869102),CARVANA CO CL A,0.47,10/20/2020,11/04/20,$92.19 ,$95.94 ,($3.75),-
,,,,Wash Sale,$0.00 ,($0.15),$0.15 ,-
CVNA(146869102),CARVANA CO CL A,1.00,10/29/2020,11/04/20,$197.83 ,$191.86 ,$5.97 ,-
CVNA(146869102),CARVANA CO CL A,0.53,10/30/2020,11/04/20,$105.63 ,$96.41 ,$9.22 ,-
CVNA(146869102),CARVANA CO CL A,0.02,10/20/2020,11/04/20,$3.75 ,$3.58 ,$0.17 ,-
DAL(247361702),DELTA AIR LINES INC,3.00,05/22/2020,11/04/20,$93.42 ,$69.84 ,$23.58 ,-
DAL(247361702),DELTA AIR LINES INC,6.00,10/05/20,11/04/20,$186.83 ,$190.56 ,($3.73),-
DAL(247361702),DELTA AIR LINES INC,2.00,10/26/2020,11/04/20,$62.28 ,$63.34 ,($1.06),-
DISCA(25470F104),DISCOVERY INC COM SER A,1.00,06/15/2020,11/04/20,$20.69 ,$22.48 ,($1.79),-
,,,,Wash Sale,$0.00 ,($1.27),$1.27 ,-
DISCA(25470F104),DISCOVERY INC COM SER A,4.00,09/23/2020,11/04/20,$82.76 ,$84.96 ,($2.20),-
DISCA(25470F104),DISCOVERY INC COM SER A,5.00,10/20/2020,11/04/20,$103.45 ,$101.18 ,$2.27 ,-
DISCA(25470F104),DISCOVERY INC COM SER A,3.00,10/27/2020,11/04/20,$62.06 ,$60.68 ,$1.38 ,-
DISCA(25470F104),DISCOVERY INC COM SER A,0.71,06/15/2020,11/04/20,$14.63 ,$15.59 ,($0.96),-
DVN(25179M103),DEVON ENERGY CORP NEW,11.00,09/23/2020,11/02/20,$95.74 ,$97.19 ,($1.45),-
,,,,Wash Sale,$0.00 ,($1.45),$1.45 ,-
